Packet Sniffer log file
New capture sessions will be appended below.

========================================================================
Capture started at 2026-05-15 21:08:16
[00001] 2026-05-15 21:08:42 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00002] 2026-05-15 21:08:42 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00003] 2026-05-15 21:08:42 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00004] 2026-05-15 21:08:42 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00005] 2026-05-15 21:08:42 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00006] 2026-05-15 21:08:43 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00007] 2026-05-15 21:08:43 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00008] 2026-05-15 21:08:43 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
2026-05-15 21:09:20 | Capture finished. Total IP packets captured: 8

========================================================================
Capture started at 2026-05-15 21:12:46
[00001] 2026-05-15 21:13:02 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00002] 2026-05-15 21:13:02 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00003] 2026-05-15 21:13:02 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00004] 2026-05-15 21:13:02 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00005] 2026-05-15 21:13:02 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00006] 2026-05-15 21:13:02 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00007] 2026-05-15 21:13:09 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00008] 2026-05-15 21:13:40 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00009] 2026-05-15 21:13:40 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00010] 2026-05-15 21:13:40 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00011] 2026-05-15 21:13:40 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00012] 2026-05-15 21:13:40 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00013] 2026-05-15 21:13:41 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00014] 2026-05-15 21:13:41 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00015] 2026-05-15 21:13:41 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00016] 2026-05-15 21:14:17 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00017] 2026-05-15 21:14:17 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00018] 2026-05-15 21:14:17 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00019] 2026-05-15 21:14:17 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00020] 2026-05-15 21:14:18 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00021] 2026-05-15 21:14:18 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00022] 2026-05-15 21:14:56 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00023] 2026-05-15 21:14:56 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00024] 2026-05-15 21:14:56 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00025] 2026-05-15 21:14:56 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00026] 2026-05-15 21:14:56 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00027] 2026-05-15 21:14:56 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00028] 2026-05-15 21:14:56 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00029] 2026-05-15 21:15:33 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00030] 2026-05-15 21:15:33 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00031] 2026-05-15 21:15:33 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00032] 2026-05-15 21:15:33 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00033] 2026-05-15 21:15:33 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00034] 2026-05-15 21:15:33 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00035] 2026-05-15 21:15:33 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00036] 2026-05-15 21:16:10 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00037] 2026-05-15 21:16:10 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00038] 2026-05-15 21:16:10 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00039] 2026-05-15 21:16:10 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00040] 2026-05-15 21:16:10 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00041] 2026-05-15 21:16:10 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00042] 2026-05-15 21:16:10 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00043] 2026-05-15 21:16:15 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00044] 2026-05-15 21:16:15 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00045] 2026-05-15 21:16:15 | SRC: 26.51.37.187    -> DST: 239.255.255.250 | PROTOCOL: UDP
[00046] 2026-05-15 21:16:15 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00047] 2026-05-15 21:16:15 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00048] 2026-05-15 21:16:15 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00049] 2026-05-15 21:16:15 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00050] 2026-05-15 21:16:15 | SRC: 26.51.37.187    -> DST: 239.255.255.250 | PROTOCOL: UDP
[00051] 2026-05-15 21:16:15 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00052] 2026-05-15 21:16:16 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00053] 2026-05-15 21:16:18 | SRC: 26.51.37.187    -> DST: 239.255.255.250 | PROTOCOL: UDP
[00054] 2026-05-15 21:16:21 | SRC: 26.51.37.187    -> DST: 239.255.255.250 | PROTOCOL: UDP
[00055] 2026-05-15 21:16:31 | SRC: 26.51.37.187    -> DST: 239.255.255.250 | PROTOCOL: UDP
[00056] 2026-05-15 21:16:31 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00057] 2026-05-15 21:16:31 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00058] 2026-05-15 21:16:32 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00059] 2026-05-15 21:16:32 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00060] 2026-05-15 21:16:32 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00061] 2026-05-15 21:16:32 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00062] 2026-05-15 21:16:32 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00063] 2026-05-15 21:16:32 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00064] 2026-05-15 21:16:32 | SRC: 26.51.37.187    -> DST: 224.0.0.22      | PROTOCOL: OTHER
[00065] 2026-05-15 21:16:34 | SRC: 26.51.37.187    -> DST: 224.0.0.252     | PROTOCOL: UDP
[00066] 2026-05-15 21:16:34 | SRC: 26.51.37.187    -> DST: 239.255.255.250 | PROTOCOL: UDP
[00067] 2026-05-15 21:16:37 | SRC: 26.51.37.187    -> DST: 239.255.255.250 | PROTOCOL: UDP
[00068] 2026-05-15 21:16:40 | SRC: 26.51.37.187    -> DST: 239.255.255.250 | PROTOCOL: UDP
[00069] 2026-05-15 21:16:43 | SRC: 26.51.37.187    -> DST: 239.255.255.250 | PROTOCOL: UDP
